"MUNDISSEC","total_len","lcc_len","connectivity","year"
"08019309008",211.125290614157,0,0,2017
"08019309009",1239.21663417329,0,0,2017
"08019309010",259.167733732636,0,0,2017
"08019309015",60.5783009033636,0,0,2017
"08019309024",74.5859170745224,0,0,2017
"08019309025",78.9497085332692,0,0,2017
"08019309032",934.890968737822,0,0,2017
"08019309033",188.194189631739,0,0,2017
"08019309049",289.274083309732,289.274083309732,1,2017
"08019309055",365.961383079663,365.961383079663,1,2017
"08019309056",76.9178878918138,76.9178878918138,1,2017
"08019309057",357.31572171945,357.31572171945,1,2017
"08019309058",222.384142319035,222.384142319035,1,2017
"08019309062",335.653794128966,0,0,2017
"08019309063",161.134424887335,161.134424887335,1,2017
"08019309065",59.2194261546537,59.2194261546537,1,2017
"08019309067",261.513791067431,261.513791067431,1,2017
"08019309068",259.72977756763,259.72977756763,1,2017
"08019309069",224.437599090452,224.437599090452,1,2017
"08019309070",74.4490226235456,74.4490226235456,1,2017
"08019309071",280.050518077234,280.050518077234,1,2017
"08019309076",190.228552580059,190.228552580059,1,2017
"08019309077",361.827908334019,361.827908334019,1,2017
"08019309079",152.287220938854,152.287220938854,1,2017
"08019309081",244.259149920177,244.259149920177,1,2017
"08019309083",360.192104489229,360.192104489229,1,2017
"08019309087",24.4533347998093,24.4533347998093,1,2017
"08019309088",193.208589659008,193.208589659008,1,2017
"08019309089",396.829027249228,396.829027249228,1,2017
"08019309090",308.43092948148,308.43092948148,1,2017
"08019309091",420.026887658127,420.026887658127,1,2017
"08019309092",384.896213145436,384.896213145436,1,2017
"08019309093",134.32430759855,134.32430759855,1,2017
"08019309094",31.724773023154,31.724773023154,1,2017
"08019309095",207.608492310655,207.608492310655,1,2017
"08019310001",179.089951448853,179.089951448853,1,2017
"08019310002",185.845844892488,185.845844892488,1,2017
"08019310004",135.843332328897,135.843332328897,1,2017
"08019310005",276.412521278615,276.412521278615,1,2017
"08019310006",121.382315423192,121.382315423192,1,2017
